Student ID,English,History,Math,Physical Education,Science,Average,WeightedAverage,Status
1,50,95,50,75,75,69.0,57.5,Fail
2,75,85,50,95,95,80.0,71.0,Fail
3,95,95,50,75,95,82.0,77.0,Pass
4,65,50,65,85,85,70.0,71.0,Fail
5,95,75,75,75,75,79.0,81.0,Pass
6,75,75,95,50,75,74.0,83.0,Pass
7,65,95,65,85,50,72.0,60.5,Fail
8,75,95,50,85,50,71.0,57.5,Fail
9,50,65,95,85,75,74.0,75.5,Pass
10,50,85,50,50,95,66.0,63.5,Fail
11,85,85,75,65,75,77.0,78.0,Pass
12,65,95,50,85,85,76.0,65.0,Fail
13,95,75,95,75,85,85.0,92.0,Pass
14,95,95,75,50,95,82.0,87.0,Pass
15,50,95,85,85,75,78.0,71.5,Fail
16,85,95,65,95,75,83.0,74.0,Fail
17,95,50,50,75,75,69.0,71.0,Fail
18,65,85,75,50,65,68.0,69.0,Fail
19,75,65,85,95,65,77.0,76.0,Pass
20,95,65,65,50,50,65.0,69.5,Fail
21,95,95,95,50,95,86.0,95.0,Pass
22,50,50,95,65,75,67.0,75.5,Pass
23,75,85,75,65,50,70.0,67.5,Fail
24,95,65,95,95,50,80.0,81.5,Pass
25,75,95,50,50,85,71.0,68.0,Fail
26,95,85,95,95,95,93.0,95.0,Pass
27,50,65,95,75,95,76.0,81.5,Pass
28,85,65,95,50,95,78.0,92.0,Pass
29,75,95,95,75,85,85.0,86.0,Pass
30,85,75,95,50,65,74.0,83.0,Pass
31,50,85,95,65,50,69.0,68.0,Fail
32,50,65,95,75,65,70.0,72.5,Fail
33,65,50,65,75,95,70.0,74.0,Fail
34,65,75,65,75,85,73.0,71.0,Fail
35,65,75,50,50,65,61.0,59.0,Fail
36,95,65,65,75,50,70.0,69.5,Fail
37,95,95,50,85,95,84.0,77.0,Pass
38,75,65,65,85,65,71.0,68.0,Fail
39,75,95,85,95,65,83.0,76.0,Pass
40,85,50,85,65,85,74.0,85.0,Pass
41,95,75,65,75,85,79.0,80.0,Pass
42,75,85,65,50,75,70.0,71.0,Fail
43,95,65,50,75,95,76.0,77.0,Pass
44,75,65,65,65,95,73.0,77.0,Pass
45,65,50,50,75,50,58.0,54.5,Fail
46,75,75,65,50,85,70.0,74.0,Fail
47,75,85,85,50,65,72.0,76.0,Pass
48,85,85,75,85,85,83.0,81.0,Pass
49,85,65,65,95,75,77.0,74.0,Fail
50,65,85,50,50,75,65.0,62.0,Fail
51,75,95,50,75,95,78.0,71.0,Fail
52,50,65,75,95,75,72.0,67.5,Fail
53,95,50,65,65,65,68.0,74.0,Fail
54,95,50,95,95,50,77.0,81.5,Pass
55,95,65,85,85,95,85.0,91.0,Pass
56,65,50,65,85,95,72.0,74.0,Fail
57,85,95,75,85,50,78.0,70.5,Fail
58,50,50,65,75,85,65.0,66.5,Fail
59,50,65,95,95,95,80.0,81.5,Pass
60,65,85,50,65,75,68.0,62.0,Fail
61,75,65,75,85,65,73.0,72.0,Fail
62,65,75,95,50,50,67.0,72.5,Fail
63,85,75,65,95,65,77.0,71.0,Fail
64,65,85,50,50,65,63.0,59.0,Fail
65,65,95,50,65,75,70.0,62.0,Fail
66,75,50,95,65,75,72.0,83.0,Pass
67,85,95,50,65,85,76.0,71.0,Fail
68,95,50,75,75,95,78.0,87.0,Pass
69,85,75,65,95,50,74.0,66.5,Fail
70,85,75,95,95,75,85.0,86.0,Pass
71,85,50,85,50,65,67.0,79.0,Pass
72,50,85,75,65,95,74.0,73.5,Fail
73,75,95,85,50,75,76.0,79.0,Pass
74,75,75,75,65,50,68.0,67.5,Fail
75,65,65,75,75,85,73.0,75.0,Pass
76,95,65,95,50,95,80.0,95.0,Pass
77,75,65,65,95,65,73.0,68.0,Fail
78,85,65,95,50,95,78.0,92.0,Pass
79,95,95,75,50,85,80.0,84.0,Pass
80,65,85,95,75,75,79.0,80.0,Pass
81,50,85,85,75,95,78.0,77.5,Pass
82,75,75,75,50,50,65.0,67.5,Fail
83,95,75,50,85,65,74.0,68.0,Fail
84,50,95,50,95,85,75.0,60.5,Fail
85,50,65,85,95,95,78.0,77.5,Pass
86,75,50,95,95,85,80.0,86.0,Pass
87,65,50,75,65,85,68.0,75.0,Pass
88,75,65,65,85,95,77.0,77.0,Pass
89,50,50,85,50,50,57.0,64.0,Fail
90,65,65,65,95,85,75.0,71.0,Fail
91,95,65,95,75,65,79.0,86.0,Pass
92,95,85,75,65,95,83.0,87.0,Pass
93,85,85,65,65,95,79.0,80.0,Pass
94,50,85,75,65,50,65.0,60.0,Fail
95,50,85,95,65,65,72.0,72.5,Fail
